VARIABLE  var
IDENTIFIER  x
EQUALS  =
IDENTIFIER  L
OPEN_PAREN  (
IDENTIFIER  L
OPEN_PAREN  (
IDENTIFIER  N
OPEN_PAREN  (
INT_LIT  1
CLOSE_PAREN  )
CLOSE_PAREN  )
COMMA  ,
IDENTIFIER  N
OPEN_PAREN  (
INT_LIT  2
CLOSE_PAREN  )
COMMA  ,
IDENTIFIER  L
OPEN_PAREN  (
IDENTIFIER  L
OPEN_PAREN  (
IDENTIFIER  N
OPEN_PAREN  (
INT_LIT  3
CLOSE_PAREN  )
COMMA  ,
IDENTIFIER  N
OPEN_PAREN  (
INT_LIT  4
CLOSE_PAREN  )
CLOSE_PAREN  )
COMMA  ,
IDENTIFIER  N
OPEN_PAREN  (
INT_LIT  5
CLOSE_PAREN  )
CLOSE_PAREN  )
COMMA  ,
IDENTIFIER  L
OPEN_PAREN  (
IDENTIFIER  L
OPEN_PAREN  (
IDENTIFIER  L
OPEN_BRACK  [
IDENTIFIER  int
CLOSE_BRACK  ]
OPEN_PAREN  (
CLOSE_PAREN  )
CLOSE_PAREN  )
CLOSE_PAREN  )
COMMA  ,
IDENTIFIER  L
OPEN_PAREN  (
IDENTIFIER  L
OPEN_PAREN  (
IDENTIFIER  L
OPEN_PAREN  (
IDENTIFIER  N
OPEN_PAREN  (
INT_LIT  6
CLOSE_PAREN  )
CLOSE_PAREN  )
CLOSE_PAREN  )
CLOSE_PAREN  )
COMMA  ,
IDENTIFIER  N
OPEN_PAREN  (
INT_LIT  7
CLOSE_PAREN  )
COMMA  ,
IDENTIFIER  N
OPEN_PAREN  (
INT_LIT  8
CLOSE_PAREN  )
COMMA  ,
IDENTIFIER  L
OPEN_BRACK  [
IDENTIFIER  int
CLOSE_BRACK  ]
OPEN_PAREN  (
CLOSE_PAREN  )
CLOSE_PAREN  )
